InputID,TargetID,Distance
17773,17645,12350.8579170041
17773,17899,11143.9032688172
17774,17773,5316.9429392417
17774,17775,5316.94293924237
17774,17645,11143.738807317
17774,17900,11143.9032688172
17775,17776,5316.9429392417
17775,17774,5316.94293924237
17775,17901,11143.9032688172
17775,17646,11143.738807317
17776,17777,5316.94293924237
17776,17775,5316.9429392417
17776,17647,11143.738807317
17776,17902,11143.9032688172
17777,17903,11143.9032688172
17777,17776,5316.94293924237
17777,17648,11143.738807317
17777,17649,12350.8579170041
17778,17906,12343.6424591116
17778,17907,11143.9032688172
17778,17779,5316.9429392417
17778,17652,12350.8579170041
17778,17651,11143.738807317
17779,17908,11143.9032688172
17779,17778,5316.9429392417
17779,17652,11143.738807317
17779,17651,12350.8579170041
17644,17773,11143.738807317
17644,17551,12358.0853832975
17644,17645,5334.03548391191
17644,17550,11143.5739766439
17645,17551,11143.5739766439
17645,17774,11143.738807317
17645,17644,5334.03548391191
17645,17646,5334.03548391258
17646,17552,11143.5739766439
17646,17775,11143.738807317
17646,17645,5334.03548391258
17646,17647,5334.03548391191
17647,17776,11143.738807317
17647,17648,5334.03548391258
17647,17646,5334.03548391191
17647,17553,11143.5739766439
17648,17554,11143.5739766439
17648,17777,11143.738807317
17648,17649,5334.03548391191
17648,17647,5334.03548391258
17649,17554,12358.0853832975
17649,17555,11143.5739766439
17649,17556,12358.0853832978
17649,17648,5334.03548391191
17649,17650,5334.03548391258
17650,17557,12358.0853832975
17650,17555,12358.0853832978
17650,17556,11143.5739766439
17650,17649,5334.03548391258
17651,17557,12358.0853832978
17651,17558,11143.5739766439
17651,17778,11143.738807317
17651,17652,5334.03548391191
17652,17558,12358.0853832975
17652,17559,11143.5739766439
17652,17779,11143.738807317
17652,17651,5334.03548391191
17550,17551,5351.1115524655
17550,17644,11143.5739766439
17550,17645,12358.0853832975
17550,17459,11143.4087788316
17551,17552,5351.11155246619
17551,17460,11143.4087788316
17551,17645,11143.5739766439
17551,17550,5351.1115524655
17552,17551,5351.11155246619
17552,17461,11143.4087788316
17552,17646,11143.5739766439
17552,17553,5351.1115524655
17553,17554,5351.11155246619
17553,17552,5351.1115524655
17553,17462,11143.4087788316
17553,17647,11143.5739766439
17554,17555,5351.1115524655
17554,17648,11143.5739766439
17554,17463,11143.4087788316
17554,17553,5351.11155246619
17555,17554,5351.1115524655
17555,17556,5351.11155246619
17555,17464,11143.4087788316
17555,17649,11143.5739766439
17556,17557,5351.1115524655
17556,17555,5351.11155246619
17556,17465,11143.4087788316
17556,17650,11143.5739766439
17557,17466,11143.4087788316
17557,17558,5351.11155246619
17557,17556,5351.1115524655
17557,17651,12358.0853832978
17558,17467,11143.4087788316
17558,17557,5351.11155246619
17558,17559,5351.1115524655
17558,17651,11143.5739766439
17559,17558,5351.1115524655
17559,17652,11143.5739766439
17559,17468,11143.4087788316
17559,17651,12358.0853832975
17459,17368,12372.5759011688
17459,17460,5368.17109280445
17459,17550,11143.4087788316
17459,17367,11143.2432159176
17460,17551,11143.4087788316
17460,17368,11143.2432159176
17460,17461,5368.17109280514
17460,17459,5368.17109280445
17461,17552,11143.4087788316
17461,17369,11143.2432159176
17461,17460,5368.17109280514
17461,17462,5368.17109280445
17462,17370,11143.2432159176
17462,17461,5368.17109280445
17462,17463,5368.17109280514
17462,17553,11143.4087788316
17463,17554,11143.4087788316
17463,17371,11143.2432159176
17463,17464,5368.17109280445
17463,17462,5368.17109280514
17464,17555,11143.4087788316
17464,17372,11143.2432159176
17464,17465,5368.17109280514
17464,17463,5368.17109280445
17465,17466,5368.17109280445
17465,17556,11143.4087788316
17465,17373,11143.2432159176
17465,17464,5368.17109280514
17466,17467,5368.17109280514
17466,17557,11143.4087788316
17466,17374,11143.2432159176
17466,17465,5368.17109280445
17467,17466,5368.17109280514
17467,17558,11143.4087788316
17467,17375,11143.2432159176
17467,17468,5368.17109280445
17468,17467,5368.17109280445
17468,17375,12372.5759011688
17468,17559,11143.4087788316
17468,17376,11143.2432159176
17367,17368,5385.21405288735
17367,17369,10770.4249647062
17367,17460,12372.5759011688
17367,17459,11143.2432159176
17368,17369,5385.21405288804
17368,17460,11143.2432159176
17368,17459,12372.5759011688
17368,17367,5385.21405288735
17369,17370,5385.21405288735
17369,17368,5385.21405288804
17369,17461,11143.2432159176
17369,17462,12372.5759011688
17370,17371,5385.21405288804
17370,17369,5385.21405288735
17370,17461,12372.5759011688
17370,17462,11143.2432159176
17371,17370,5385.21405288804
17371,17372,5385.21405288735
17371,17464,12372.5759011688
17371,17463,11143.2432159176
17372,17371,5385.21405288735
17372,17373,5385.21405288804
17372,17464,11143.2432159176
17372,17465,12372.5759011691
17372,17463,12372.5759011688
17373,17374,5385.21405288735
17373,17372,5385.21405288804
17373,17464,12372.5759011691
17373,17465,11143.2432159176
17374,17466,11143.2432159176
17374,17467,12372.5759011691
17374,17375,5385.21405288804
17374,17373,5385.21405288735
17375,17466,12372.5759011691
17375,17467,11143.2432159176
17375,17374,5385.21405288804
17375,17376,5385.21405288735
17376,17467,12372.5759011688
17376,17374,10770.4249647062
17376,17375,5385.21405288735
17376,17468,11143.2432159176
